St,City,FIPS_city,Time,OWS_protest,15,30,45,60,100
DC,Washington,1150000,27,1,0,0,1,1,3
DC,Washington,1150000,28,1,0,0,1,1,3
DC,Washington,1150000,29,1,0,0,1,1,3
DC,Washington,1150000,30,1,0,0,1,1,3
DC,Washington,1150000,31,1,0,0,1,1,7
DC,Washington,1150000,32,1,0,0,1,1,7
DC,Washington,1150000,33,1,0,0,1,1,7
DC,Washington,1150000,34,1,0,0,1,1,7
DC,Washington,1150000,35,1,0,0,1,1,7
DC,Washington,1150000,36,1,0,0,1,1,7
DC,Washington,1150000,37,1,0,0,1,1,7
DC,Washington,1150000,38,1,0,0,1,1,7
DC,Washington,1150000,39,1,0,0,1,1,7
DC,Washington,1150000,40,1,0,0,1,1,7
DC,Washington,1150000,41,1,0,0,1,1,7
DC,Washington,1150000,42,1,0,0,1,1,7
DC,Washington,1150000,43,1,0,0,1,1,7
DC,Washington,1150000,44,1,0,0,1,1,7
DC,Washington,1150000,45,1,0,0,1,1,7
DC,Washington,1150000,46,1,0,0,1,1,7
DC,Washington,1150000,47,1,0,0,1,1,7
DC,Washington,1150000,48,1,0,0,1,1,7
DC,Washington,1150000,49,1,0,0,1,1,7
DC,Washington,1150000,50,1,0,0,1,1,7
DC,Washington,1150000,51,1,0,0,1,1,7
DC,Washington,1150000,52,1,0,0,1,1,7
DC,Washington,1150000,53,1,0,0,1,1,7
DC,Washington,1150000,54,1,0,0,1,1,7
DC,Washington,1150000,55,1,0,0,1,1,7
DC,Washington,1150000,56,1,0,0,1,1,7
DC,Washington,1150000,57,1,0,0,1,1,7
DC,Washington,1150000,58,1,0,0,1,1,7
DC,Washington,1150000,59,1,0,0,1,1,7
DC,Washington,1150000,60,1,0,0,1,1,7
DC,Washington,1150000,61,1,0,0,1,1,7
DC,Washington,1150000,62,1,0,0,1,1,7
DC,Washington,1150000,63,1,0,0,1,1,7
DC,Washington,1150000,64,1,0,0,1,1,7
DC,Washington,1150000,65,1,0,0,1,1,7
DC,Washington,1150000,66,1,0,0,1,1,7
DC,Washington,1150000,67,1,0,0,1,1,7
DC,Washington,1150000,68,1,0,0,1,1,7
DC,Washington,1150000,69,1,0,0,1,1,7
DC,Washington,1150000,70,1,0,0,1,1,7
DC,Washington,1150000,71,1,0,0,1,1,7
DC,Washington,1150000,72,1,0,0,1,1,7
DC,Washington,1150000,73,1,0,0,1,1,7
DC,Washington,1150000,74,1,0,0,1,1,7
DC,Washington,1150000,75,1,0,0,1,1,7
DC,Washington,1150000,76,1,0,0,1,1,7
DC,Washington,1150000,77,1,0,0,1,1,7
FL,Altamonte Springs,1200950,1,0,0,0,0,0,0
